--- Atoms: 
CONJESTED('613_1051') Truth=[1]
CONJESTED('625_401') Truth=[1]
CONJESTED('1083_275') Truth=[1]
CONJESTED('1046_766') Truth=[1]
CONJESTED('563_1170') Truth=[1]
CONJESTED('613_1052') Truth=[1]
CONJESTED('730_711') Truth=[1]
CONJESTED('669_448') Truth=[1]
CONJESTED('319_83') Truth=[1]
CONJESTED('1106_1026') Truth=[1]
CONJESTED('776_63') Truth=[1]
CONJESTED('728_337') Truth=[1]
CONJESTED('1139_868') Truth=[1]
CONJESTED('276_225') Truth=[1]
CONJESTED('1331_55') Truth=[1]
CONJESTED('528_1236') Truth=[1]
CONJESTED('194_418') Truth=[1]
CONJESTED('204_13') Truth=[1]
CONJESTED('80_791') Truth=[1]
CONJESTED('261_106') Truth=[1]
CONJESTED('1010_49') Truth=[1]
CONJESTED('125_486') Truth=[0.96]
CONJESTED('188_278') Truth=[1]
CONJESTED('1045_380') Truth=[1]
CONJESTED('757_605') Truth=[1]
CONJESTED('307_940') Truth=[1]
CONJESTED('302_213') Truth=[1]
CONJESTED('1340_813') Truth=[1]
CONJESTED('230_472') Truth=[1]
CONJESTED('1253_1040') Truth=[1]
CONJESTED('42_251') Truth=[1]
CONJESTED('1159_1122') Truth=[1]
CONJESTED('357_488') Truth=[1]
CONJESTED('735_1167') Truth=[1]
CONJESTED('115_622') Truth=[1]
CONJESTED('1205_301') Truth=[1]
CONJESTED('32_413') Truth=[1]
CONJESTED('790_1083') Truth=[1]
CONJESTED('533_1107') Truth=[1]
CONJESTED('727_557') Truth=[1]
CONJESTED('903_906') Truth=[1]
CONJESTED('1067_651') Truth=[1]
CONJESTED('1262_1044') Truth=[1]
CONJESTED('299_580') Truth=[1]
CONJESTED('381_676') Truth=[1]
CONJESTED('367_287') Truth=[1]
CONJESTED('41_428') Truth=[1]
CONJESTED('349_240') Truth=[1]
CONJESTED('639_591') Truth=[1]
CONJESTED('69_816') Truth=[1]
CONJESTED('739_1020') Truth=[1]
CONJESTED('350_109') Truth=[1]
CONJESTED('88_427') Truth=[1]
CONJESTED('504_1296') Truth=[1]
CONJESTED('698_32') Truth=[1]
CONJESTED('1179_982') Truth=[1]
CONJESTED('1233_1176') Truth=[1]
CONJESTED('213_4') Truth=[1]
CONJESTED('381_1128') Truth=[1]
CONJESTED('105_801') Truth=[1]
CONJESTED('863_641') Truth=[1]
CONJESTED('759_410') Truth=[1]
CONJESTED('702_1112') Truth=[1]
CONJESTED('237_583') Truth=[1]
CONJESTED('743_992') Truth=[1]
CONJESTED('252_750') Truth=[1]
CONJESTED('881_447') Truth=[1]
CONJESTED('388_796') Truth=[1]
CONJESTED('699_923') Truth=[1]
CONJESTED('1354_1190') Truth=[1]
CONJESTED('1_840') Truth=[1]
CONJESTED('968_104') Truth=[1]
CONJESTED('557_727') Truth=[1]
CONJESTED('371_654') Truth=[1]
CONJESTED('1187_970') Truth=[1]
CONJESTED('1374_1017') Truth=[1]
CONJESTED('1358_147') Truth=[1]
CONJESTED('1066_1217') Truth=[1]
CONJESTED('1194_532') Truth=[1]
CONJESTED('986_359') Truth=[1]
CONJESTED('1364_934') Truth=[1]
CONJESTED('998_401') Truth=[1]
CONJESTED('228_111') Truth=[1]
CONJESTED('513_116') Truth=[1]
CONJESTED('1267_783') Truth=[0.5]
CONJESTED('1260_817') Truth=[1]
CONJESTED('616_410') Truth=[1]
CONJESTED('1204_906') Truth=[1]
CONJESTED('675_1265') Truth=[1]
CONJESTED('1319_694') Truth=[1]
CONJESTED('388_133') Truth=[1]
CONJESTED('682_167') Truth=[1]
CONJESTED('267_602') Truth=[1]
CONJESTED('213_238') Truth=[1]
CONJESTED('607_473') Truth=[1]
CONJESTED('587_1264') Truth=[1]
CONJESTED('363_1314') Truth=[1]
CONJESTED('14_6') Truth=[1]
CONJESTED('840_734') Truth=[1]
CONJESTED('388_135') Truth=[1]
CONJESTED('179_880') Truth=[1]
CONJESTED('1321_595') Truth=[1]
CONJESTED('599_224') Truth=[1]
CONJESTED('491_1289') Truth=[1]
CONJESTED('1156_459') Truth=[1]
CONJESTED('916_1269') Truth=[1]
CONJESTED('165_574') Truth=[1]
CONJESTED('824_319') Truth=[1]
CONJESTED('193_21') Truth=[1]
CONJESTED('462_231') Truth=[1]
CONJESTED('658_1201') Truth=[1]
CONJESTED('352_136') Truth=[1]
CONJESTED('212_79') Truth=[1]
CONJESTED('714_463') Truth=[1]
CONJESTED('237_305') Truth=[1]
CONJESTED('1194_780') Truth=[1]
CONJESTED('1097_503') Truth=[1]
CONJESTED('1193_72') Truth=[1]
CONJESTED('591_376') Truth=[1]
CONJESTED('1195_108') Truth=[1]
CONJESTED('934_192') Truth=[1]
CONJESTED('152_963') Truth=[1]
CONJESTED('325_964') Truth=[1]
CONJESTED('74_1307') Truth=[1]
CONJESTED('770_578') Truth=[1]
CONJESTED('592_572') Truth=[1]
CONJESTED('1308_422') Truth=[1]
CONJESTED('603_127') Truth=[1]
CONJESTED('1302_124') Truth=[1]
CONJESTED('82_1189') Truth=[1]
CONJESTED('785_445') Truth=[1]
CONJESTED('1253_84') Truth=[1]
CONJESTED('962_634') Truth=[1]
CONJESTED('1157_1049') Truth=[1]
CONJESTED('1279_594') Truth=[1]
CONJESTED('583_524') Truth=[1]
CONJESTED('555_61') Truth=[1]
CONJESTED('258_694') Truth=[1]
CONJESTED('373_1102') Truth=[1]
CONJESTED('1205_1099') Truth=[1]
CONJESTED('665_566') Truth=[1]
CONJESTED('894_345') Truth=[1]
CONJESTED('1121_964') Truth=[1]
CONJESTED('1093_426') Truth=[1]
CONJESTED('490_537') Truth=[1]
CONJESTED('1263_653') Truth=[1]
CONJESTED('1_1228') Truth=[1]
CONJESTED('1215_755') Truth=[1]
CONJESTED('1342_812') Truth=[1]
CONJESTED('397_502') Truth=[1]
CONJESTED('477_702') Truth=[1]
CONJESTED('262_577') Truth=[1]
CONJESTED('789_1202') Truth=[1]
CONJESTED('546_297') Truth=[1]
CONJESTED('121_1326') Truth=[1]
CONJESTED('667_1085') Truth=[1]
CONJESTED('1317_1237') Truth=[1]
CONJESTED('621_865') Truth=[1]
CONJESTED('823_317') Truth=[1]
CONJESTED('1333_1077') Truth=[1]
CONJESTED('640_856') Truth=[1]
CONJESTED('586_890') Truth=[1]
CONJESTED('969_166') Truth=[1]
CONJESTED('270_546') Truth=[1]
CONJESTED('171_120') Truth=[1]
CONJESTED('1172_1002') Truth=[1]
CONJESTED('157_303') Truth=[1]
CONJESTED('1215_981') Truth=[1]
CONJESTED('859_245') Truth=[1]
CONJESTED('120_135') Truth=[1]
CONJESTED('709_65') Truth=[1]
CONJESTED('328_1051') Truth=[1]
CONJESTED('667_1073') Truth=[1]
CONJESTED('838_470') Truth=[1]
CONJESTED('985_944') Truth=[1]
CONJESTED('1210_1232') Truth=[1]
CONJESTED('1207_1355') Truth=[1]
CONJESTED('763_625') Truth=[1]
CONJESTED('1129_1275') Truth=[1]
CONJESTED('534_867') Truth=[1]
CONJESTED('1278_1037') Truth=[1]
CONJESTED('636_1345') Truth=[1]
CONJESTED('454_825') Truth=[1]
CONJESTED('1134_1330') Truth=[1]
CONJESTED('1171_423') Truth=[1]
CONJESTED('708_520') Truth=[1]
CONJESTED('641_863') Truth=[1]
CONJESTED('1370_767') Truth=[1]
CONJESTED('347_806') Truth=[1]
CONJESTED('694_1319') Truth=[1]
CONJESTED('85_450') Truth=[1]
CONJESTED('634_962') Truth=[1]
CONJESTED('1144_581') Truth=[1]
CONJESTED('1374_150') Truth=[1]
CONJESTED('1044_1265') Truth=[1]
CONJESTED('89_91') Truth=[1]
CONJESTED('421_559') Truth=[1]
CONJESTED('9_581') Truth=[1]
CONJESTED('1056_92') Truth=[1]
CONJESTED('149_779') Truth=[1]
CONJESTED('700_334') Truth=[1]
CONJESTED('1195_74') Truth=[1]
CONJESTED('1221_551') Truth=[1]
CONJESTED('556_998') Truth=[1]
CONJESTED('1279_784') Truth=[1]
CONJESTED('358_692') Truth=[1]
CONJESTED('715_652') Truth=[1]
CONJESTED('128_42') Truth=[1]
CONJESTED('197_1005') Truth=[1]
CONJESTED('1213_940') Truth=[1]
CONJESTED('90_529') Truth=[1]
CONJESTED('259_289') Truth=[1]
CONJESTED('1381_1146') Truth=[1]
CONJESTED('694_258') Truth=[1]
CONJESTED('190_1242') Truth=[1]
CONJESTED('1042_1070') Truth=[1]
CONJESTED('220_1154') Truth=[1]
CONJESTED('915_527') Truth=[1]
CONJESTED('355_1340') Truth=[1]
CONJESTED('200_32') Truth=[1]
CONJESTED('1316_457') Truth=[1]
CONJESTED('1370_989') Truth=[1]
CONJESTED('13_613') Truth=[1]
CONJESTED('1085_667') Truth=[1]
CONJESTED('1345_1319') Truth=[1]
CONJESTED('1373_1218') Truth=[1]
CONJESTED('1220_987') Truth=[1]
CONJESTED('15_465') Truth=[1]
CONJESTED('906_903') Truth=[1]
CONJESTED('90_519') Truth=[1]
CONJESTED('1112_1160') Truth=[1]
CONJESTED('55_711') Truth=[1]
CONJESTED('700_315') Truth=[1]
CONJESTED('1052_191') Truth=[1]
CONJESTED('458_107') Truth=[1]
CONJESTED('964_517') Truth=[1]
CONJESTED('192_1204') Truth=[1]
CONJESTED('1051_164') Truth=[1]
CONJESTED('232_1332') Truth=[1]
CONJESTED('738_112') Truth=[1]
CONJESTED('779_523') Truth=[1]
CONJESTED('1235_605') Truth=[1]
CONJESTED('1019_1078') Truth=[1]
CONJESTED('628_712') Truth=[1]
CONJESTED('429_655') Truth=[1]
CONJESTED('709_489') Truth=[1]
