--- Atoms: 
CONJESTED('164_1149') Truth=[0.48]
CONJESTED('452_1197') Truth=[0.42]
CONJESTED('126_1022') Truth=[0.25]
CONJESTED('1122_184') Truth=[0.41]
CONJESTED('257_1060') Truth=[0]
CONJESTED('726_205') Truth=[0.26]
CONJESTED('820_354') Truth=[0]
CONJESTED('977_1006') Truth=[0.5]
CONJESTED('121_633') Truth=[0.67]
CONJESTED('369_1049') Truth=[0.43]
CONJESTED('382_424') Truth=[0.04]
CONJESTED('5_384') Truth=[0.41]
CONJESTED('777_563') Truth=[0.11]
CONJESTED('355_694') Truth=[0.15]
CONJESTED('967_1274') Truth=[0]
CONJESTED('873_995') Truth=[0.53]
CONJESTED('84_1195') Truth=[0.24]
CONJESTED('1091_381') Truth=[0.59]
CONJESTED('752_15') Truth=[0.52]
CONJESTED('1350_837') Truth=[0.02]
CONJESTED('163_1004') Truth=[0.76]
CONJESTED('403_980') Truth=[0.45]
CONJESTED('1255_446') Truth=[0.16]
CONJESTED('180_622') Truth=[0.14]
CONJESTED('1111_42') Truth=[0.43]
CONJESTED('942_1331') Truth=[0.74]
CONJESTED('992_1111') Truth=[0.49]
CONJESTED('303_761') Truth=[0.49]
CONJESTED('634_120') Truth=[0.33]
CONJESTED('1053_658') Truth=[0.37]
CONJESTED('567_645') Truth=[1]
CONJESTED('313_1210') Truth=[0.14]
CONJESTED('626_229') Truth=[0.7]
CONJESTED('411_75') Truth=[0.7]
CONJESTED('1339_400') Truth=[0.46]
CONJESTED('1269_609') Truth=[0.47]
CONJESTED('1293_601') Truth=[0.46]
CONJESTED('253_13') Truth=[0.02]
CONJESTED('1118_763') Truth=[0.5]
CONJESTED('68_616') Truth=[0.45]
CONJESTED('590_1354') Truth=[0.35]
CONJESTED('1199_269') Truth=[0.09]
CONJESTED('1248_62') Truth=[0.61]
CONJESTED('768_656') Truth=[1]
CONJESTED('1355_889') Truth=[0.22]
CONJESTED('535_176') Truth=[1]
CONJESTED('77_192') Truth=[0.67]
CONJESTED('698_270') Truth=[0.45]
CONJESTED('1052_613') Truth=[0.09]
CONJESTED('656_1036') Truth=[0.67]
CONJESTED('956_1315') Truth=[1]
CONJESTED('710_677') Truth=[0.23]
CONJESTED('1176_149') Truth=[0.72]
CONJESTED('651_616') Truth=[0.5]
